date,usage,temperature,humidity,wind_speed,day_of_week,is_holiday
2023-02-21,16991,36.81028578091495,42.832776291394545,1.1929484384497024,1,0
2023-02-22,18144,27.551427143873298,49.366878604583135,12.184517506825848,2,0
2023-02-23,19694,35.03459748736856,38.622220934980945,3.542381052439843,3,0
2023-02-24,16856,34.424275326489536,58.57651181150517,14.83152790717473,4,0
2023-02-25,15132,27.20801378842605,50.12464118789107,2.7958633053478144,5,0
2023-02-26,16896,38.542948563367936,88.00752236410639,0.6822247418060517,6,1
2023-02-27,17939,25.21367858910982,77.32906293378036,13.167735109693602,0,1
2023-02-28,15802,28.426361966242265,42.6490789144641,5.8654068049465256,1,0
2023-03-01,16847,37.502152163009754,51.94757919015669,11.740411248326518,2,0
2023-03-02,16055,37.91815125123774,72.43260498809484,10.539188098837531,3,1
2023-03-03,16776,27.52404135193963,78.30590054610627,5.651585012531263,4,0
2023-03-04,16061,31.557545238190432,70.87281516912591,3.338185130748533,5,0
2023-03-05,17511,37.68647633067515,72.42380136513071,2.5684792108028,6,0
2023-03-06,19335,38.99656526670738,32.593148871334364,1.6158368583102078,0,0
2023-03-07,19766,32.184000112310805,72.85285324096333,5.07631406022086,1,1
2023-03-08,17608,30.80907393485541,63.60424190375704,8.674114894081931,2,0
2023-03-09,15162,33.811574187810265,48.009782077038174,0.30233079482994973,3,0
2023-03-10,15870,35.74700623508035,76.60491172705804,6.652771247315888,4,1
2023-03-11,19427,34.402855306218775,34.11657503613409,10.139593126552723,5,1
2023-03-12,18998,33.83205904835363,51.941626384880095,3.0553738528686574,6,1
2023-03-13,19592,34.27996167596784,53.110999640630524,4.098465886698125,0,0
2023-03-14,19515,38.46798809458992,44.22640509786287,10.2916693790357,1,0
2023-03-15,15505,33.150471195632015,90.6654449171159,11.769887915669106,2,1
2023-03-16,17940,30.813393442894256,90.46380529200272,3.3914979212077894,3,1
2023-03-17,16126,33.56497244167551,76.67605059683953,3.5955909315610897,4,0
2023-03-18,16546,26.061340835175862,83.47288770506711,7.791661694849143,5,0
2023-03-19,19017,31.61940394842121,43.87525538625329,3.743155081301423,6,1
2023-03-20,18131,37.99371721692639,72.49339532310125,3.0998345905512603,0,1
2023-03-21,19483,38.62530503661071,66.88153520569512,9.604655216024513,1,0
2023-03-22,16904,33.49342439513105,92.37367666471451,7.916647709238457,2,0
2023-03-23,18918,27.132946418856434,77.26425950396893,11.470941969158485,3,0
2023-03-24,19650,35.54871581442136,92.52545826339603,11.20658215296352,4,1
2023-03-25,17410,27.312410451583915,43.073233744967396,11.145275289210382,5,1
2023-03-26,15699,32.12889789995174,96.62089015806129,12.333460553687045,6,1
2023-03-27,18438,33.96011051926277,33.17213145974677,11.714690161779329,0,1
2023-03-28,17731,25.34762029069834,52.694416391963045,1.0524570346119666,1,1
2023-03-29,17443,36.295775755535104,99.26006173405469,7.221277129304394,2,1
2023-03-30,19291,29.09400696378806,63.250288426359305,6.543488523397384,3,1
2023-03-31,18907,28.795971733910818,50.676450609369354,10.35603117443452,4,1
2023-04-01,15361,26.329861938480256,51.534862297749136,4.888101494687601,5,0
2023-04-02,15044,25.791011947170553,58.575100260957726,1.464336913272356,6,0
2023-04-03,16433,35.51572745033051,52.38619269952264,0.6376855537715526,0,0
2023-04-04,18958,29.446938102020255,57.21902620086695,3.319651903426611,1,1
2023-04-05,18961,28.521830418953467,90.42781135197296,12.876607171814824,2,1
2023-04-06,15517,34.28541889904058,69.33802359706618,3.395985069693721,3,0
2023-04-07,19209,38.89374734037897,45.63440806659993,11.809675722789272,4,1
2023-04-08,19610,28.89198329124519,41.515095249301396,5.309276570839772,5,1
2023-04-09,17206,29.907804101658815,84.59263247731373,6.853245369663905,6,1
2023-04-10,15538,36.75148384706123,71.6809390365978,1.0961236216896841,0,1
